words
相対取引
アウト・オブ・ザ・マネー（OTM）
アクティブ運用
アスク
アセットアロケーション
アット・ザ・マネー（ATM）
アメリカンタイプオプション
歩み値
アルゴリズム取引
安定操作取引
アービトラージ
板
板合せ
委託手数料
委託保証金
委託保証金維持率
板寄せ方式
一段高
一段安
一般気配
一般信用取引
一服
インカムゲイン
インサイダー取引
陰線
インタンクトランスファー
インデックス
インデックス売買
インプライド・ボラティリティ（IV）
イン・ザ・マネー（ITM）
イールド・カーブ
受入証拠金
受渡供用品
受渡決済
受渡決済値段
受渡条件調整
受渡適格銘柄
薄商い
内出来
売り一巡
売り越し
売残高
売建玉
売出し（株式の）
売り特別気配
追証
大型株
大引け
押し目買い
オプション取引
終値
オーバーアロットメント
買い安心
買い一巡
買い越し
回号
買残高
買占め
買建玉
買い特別気配・売り特別気配
買取引受
買戻し
価格変動リスク
価格優先原則
格付け
格付取引（格付表）
貸株注意喚起銘柄
貸株申込制限銘柄
加重株価平均
加重平均利回り
仮装売買
カバード・コール
株価指数
株価指標
株価収益率
株価純資産倍率
株券等の大量保有の状況に関する開示
株式移転
株式公開（IPO）
株式交換
株式等振替制度
株式の譲渡制限
株式分割
株式分布状況調査
株式併合
株式ミニ投資制度
株式利回り
株式累積投資制度
株主還元
株主資本
株主資本配当率
株主資本比率
株主名簿
株主優待
株主割当増資
空売り
空売り規制
監査意見
監査法人
閑散
幹事会社
間接金融
監理銘柄
外国債
額面株式
合併交付金
合併差益
合併比率
元本リスク
ガンマ
期先
期先限月取引
期日
基準値段
規制銘柄
期中償還請求権付新株予約権付社債
期近
期近限月取引
基本受渡し
規模別株価指数
気迷い
キャッシュフロー
キャピタルゲイン
供用期限
金融商品取引業者
金融商品取引清算機関
金融商品取引法
金融相場
議決権
ギブアップ制度
逆指値注文
逆鞘
逆張り
逆日歩
業種
喰い合い
くくり直し
クラック・スプレッド
倉荷証券
クロス
グリーンシューオプション
経過利子
計算区域
継続企業の前提
決済リスク
決算短信
気配
検査証明書
堅調
権利預り証付売買
権利落
権利行使
権利行使価格
権利行使の割当て
権利行使日
権利入札
権利放棄
現受け
現金授受予定額
限月
限月間スプレッド取引
限月現金決済先物取引
現在値
減資
原資産
限日現金決済先物取引
現引き
現渡し
（債券の）現先取引
公開買付け（TOB）
公開前規制
交換社債券
小動き
口座設定約諾書
更新差金
公募増資
小型株
国債
国債のリオープン方式
小口
故障申立
個人持株比率
小高い
小反発
小安い
コンバージョン・ファクター
コンプライアンス
コール・オプション
合意早受渡し
合成先物
後場
ゴーイング・コンサーン
最終決済
最終気配値段
最終清算数値
最終利回り
裁定取引
才取会員
先駈け
先物取引
先物・オプション取引口座設定約諾書
差金決済
下げ渋り
下げ渋る
差換預託
指値注文
指値出来ずば引け成行注文
サーキット・ブレーカー
財務諸表
材料
ザラバ方式
残存期間
支援材料
試験上場制度
指数オプション取引
指数先物取引
システミックリスク
下押す
仕手
指定倉庫
仕手株
品貸料
支配株主等に関する事項
資本コスト
資本準備金
社債
証券外務員
証券金融会社
証券コード
証券コード協議会
証券取引等監視委員会
証券保管振替機構
証拠金
証拠金基準額
証拠金所要額
商品ETF
商品先物取引業者
商品先物取引法
ショート
ショートカバー
新株落
新株予約権証券（ワラント）
新株予約権証券（ワラント）の行使価額
新株予約権証券（ワラント）の行使価額の調整
新株予約権証券（ワラント）の行使率
新株予約権付社債
新株予約権付社債の買入消却
新株予約権付社債のかい離率
新株予約権付社債の経過利子
新株予約権付社債の利率
申告受渡し
申告分離課税
新証券コード
シンジケートカバー取引
真正価値
新値
新甫発会日
信用規制
信用取引
信用取引口座設定約諾書
信用取引残高
信用取引における客向い
信用リスク
地合い
時価総額
時価発行
時間的価値
時間優先原則
自己株式
自己資本当期純利益率
自己資本比率
自己責任原則
自己売買
自己・委託区分発注
従業員持株制度
重要事実（インサイダー取引規制上の）
充用有価証券
受益証券
需給
順鞘
純資産
順張り
上伸
ジリ高
ジリ安
ストックオプション
ストップ高・ストップ安
ストップ配分
ストップロスオーダー
ストラテジー
ストラドル
ストラングル
スプレッド
スプレッド取引
スワップ
正会員
制限値幅
清算価格
清算機関
清算基金
清算参加者
清算数値
清算値段
制度信用取引
制度信用銘柄
整理銘柄
先駆株
潜在株式
セータ
前日終値
前日比
前場
前引け
全面安
総資産利益率
相場操縦
即時約定可能値幅
その他権利落
続伸
続落
貸借取引残高
貸借取引制度
貸借銘柄
大量保有報告書
高値
高値もみあい
立会外分売
立会時間
立会場
建玉
単位型投資信託
短期自社株売買の規制
単元株制度
単元未満株式
単純株価平均
単純平均利回り
大株締め
第三者割当増資
大納会
大発会
代用掛目
代用有価証券
地方債
チャート
中型株
中小型株
中低位株
注文期間
帳入値段
ちょうちん
直接金融
直接預託
直接利回り
追加型投資信託
追加証拠金
つなぎ売り
強含み
強保合い
ティックバリュー
低位株
手掛り
手掛り難
適時開示
テクニカル上場
手口
手仕舞い
手控え
転換価額下方又は上方修正型転換社債型新株予約権付社債
転換社債型新株予約権付社債
転換社債型新株予約権付社債の単純価格平均
転換社債型新株予約権付社債の転換価額の調整
転売
出合い注文
ディスクロージャー
ディーリング
デイ・トレーダー
出来高
デリバティブ
デルタ
投資部門別売買状況
東証株価指数（TOPIX）
当日決済取引
特定口座
特別気配
特別清算数値（SQ値）
特別分配金
トラッキングエラー
取組み
取組高
取引最終日
取引参加者
取引所金融商品市場外取引
内部者取引
成行注文
馴合い売買
軟調
ナンピン
日経平均株価
（株）日本証券クリアリング機構（JSCC）
荷渡指図書
値洗い
値がさ株
ネッティング決済
ネット・オプション価値の総額
値付率
値を消す
年初来高値
年初来安値
納会日
伸び悩み
配当
配当落
配当込み株価指数
配当性向
端株
始値
裸相場
発行価格
発行価額
発行市場
発行済株式数
発行日決済取引
初値
早受渡し
反対売買
反発
反落
ハードリミット
媒介
売買回転率
売買監理銘柄
売買規制措置
売買単位
売買代金
売買代金回転率
売買高
売買高加重平均価格（VWAP）
売買の停止
バスケット取引
パッシブ運用
パー
引受価額
引受人の信用供与制限
引直差金
引け
引指値
引成
ヒストリカル・ボラティリティ（HV）
非清算参加者
日計り商い
日々公表銘柄
評価損益率
標準品
標準物
比例配分
ビッド
ファンダメンタルズ
風説の流布
フェイル
含み益
復活のための売買
普通取引
不適当な合併等
浮動株
浮動株比率
不動産投資信託証券（REIT)
不成り
踏み上げ
不明確な情報等に関する注意喚起制度
振決国債
フロントランニング
ブックビルディング方式
ブラック・ショールズ・モデル
ブロックトレード
プット・オプション
プレミアム
プログラム売買
プロテクティブ・プット
平均利回り（株式の）
ヘッジ取引
変更上場日
ベガ
弁済期限
ベンチマーク
ベンチャーキャピタル
ベーシス
ベーシス取引
ペイオフ
ほふり制度（証券保管振替制度）
本質的価値
ボックス相場
ボラティリティ
ポジション
ポジション調整
ポートフォリオ
増担保規制
窓
満期日
マーケットメイク
見送り
無額面株式
銘柄コード
目先
目論見書
保合い
持ち合い株
持株会社
持株比率
元引受契約
元引受証券会社
戻り歩調
もみあい
模様眺め気分
約定取消し
約定値段
安値
有価証券オプション取引
有価証券届出書
有価証券取引税
有価証券報告書
有償増資
優先株
優先出資証券
猶予期間
様子見
陽線・陰線
預託証券
呼値
寄り付き
弱含み
弱保合い
四本値
ヨーロピアンタイプオプション
ライツ・オファリング
利益確定売り
利食い売り
リスク許容額
利回り
流通株式
流通市場
流動性リスク
両建て
両建早受渡し
理論価格
理論ベーシス
臨時報告書
類似会社比準価格算定式
るいとう
レバレッジ
レポ取引
連結財務諸表
連続約定気配
ロスカット
ロング
ロー
ローリング決済
ローリング・ヘッジ
ロールオーバー
ワラント
割引債
割引転換社債型新株予約権付社債
割増償還型転換社債型新株予約権付社債
ATM
ADR
ADP
BPS
CP（コマーシャルペーパー）
DR
DVP決済
EFS取引
EFP取引
ETF
EPS
EDINET
HV
ISINコード
IPO
IV
ITM
JSCC
J-NET取引
JPX日経インデックス400
OTM
OTC
PER
PBR
ROE
ROA
RTGS
REIT
SRI
SPAN®
SPAN証拠金額
SQ値
Target
TOB
TDnet
T+1
ToSTNeT取引
TOPIX
TOPIXニューインデックスシリーズ
VWAP
5%ルール
1株当たり純資産
1株当たり当期純利益
β値
